RANK,NAME,INDUSTRY,REVENUE (USD MILLIONS),REVENUE GROWTH,EMPLOYEES,HEADQUARTERS
1,WALMART,RETAIL,"6,80,985",5.10%,"21,00,000","BENTONVILLE, ARKANSAS"
2,AMAZON,RETAIL AND CLOUD COMPUTING,"6,37,959",11.00%,"15,56,000","SEATTLE, WASHINGTON"
3,UNITEDHEALTH GROUP,HEALTHCARE,"4,00,278",7.70%,"4,00,000","MINNETONKA, MINNESOTA"
4,APPLE,TECHNOLOGY,"3,91,035",2.00%,"1,64,000","CUPERTINO, CALIFORNIA"
5,CVS HEALTH,HEALTHCARE,"3,72,809",4.20%,"2,59,500","WOONSOCKET, RHODE ISLAND"
6,BERKSHIRE HATHAWAY,CONGLOMERATE,"3,71,433",1.90%,"3,92,400","OMAHA, NEBRASKA"
7,ALPHABET,TECHNOLOGY AND CLOUD COMPUTING,"3,50,018",13.90%,"1,83,323","MOUNTAIN VIEW, CALIFORNIA"
8,EXXON MOBIL,PETROLEUM,"3,49,595",1.50%,"60,900","SPRING, TEXAS"
9,MCKESSON CORPORATION,HEALTHCARE,"3,08,951",11.70%,"48,000","IRVING, TEXAS"
10,CENCORA,PHARMACY WHOLESALE,"2,93,959",12.10%,"44,000","CONSHOHOCKEN, PENNSYLVANIA"
11,JPMORGAN CHASE,FINANCIALS,"2,78,906",16.50%,"3,17,233","NEW YORK CITY, NEW YORK"
12,COSTCO WHOLESALE,RETAIL,"2,54,453",5.00%,"3,33,000","ISSAQUAH, WASHINGTON"
13,CIGNA,HEALTH INSURANCE,"2,47,121",26.60%,"72,398","BLOOMFIELD, CONNECTICUT"
14,MICROSOFT,TECHNOLOGY AND CLOUD COMPUTING,"2,45,122",15.70%,"2,28,000","REDMOND, WASHINGTON"
15,CARDINAL HEALTH,HEALTHCARE,"2,26,827",10.60%,"48,411","DUBLIN, OHIO"
16,CHEVRON,PETROLEUM,"2,02,792",0.90%,"45,298","HOUSTON, TEXAS"
17,BANK OF AMERICA,FINANCIALS,"1,92,434",11.90%,"2,13,193","CHARLOTTE, NORTH CAROLINA"
18,GENERAL MOTORS,AUTOMOTIVE,"1,87,442",9.10%,"1,62,000","DETROIT, MICHIGAN"
19,FORD MOTOR,AUTOMOTIVE,"1,84,992",5.00%,"1,71,000","DEARBORN, MICHIGAN"
20,ELEVANCE HEALTH,HEALTHCARE,"1,77,011",3.30%,"1,03,679","INDIANAPOLIS, INDIANA"
